#,Tracker,Status,Priority,Subject,Assignee,Updated,% Done
187,Bug,Resolved,Normal,Validation remarks should be check with Business,Isha Atey,12/07/22 10:52 AM,100
174,Feature,Resolved,Normal,Login Page,Pawan Ukey,13/06/2022 18:56,100
168,Feature,New,Normal,Master Creation (15),,20/06/2022 10:27,33
167,Feature,New,Normal,Admin Module,,12/07/22 10:52 AM,100
166,Feature,New,Normal,Static Site,,02/06/22 04:39 PM,0
165,Feature,New,Normal,Goods Delivery,,02/06/22 04:17 PM,0
164,Feature,In Progress,Normal,Commodity Price Def,,20/06/2022 10:27,0
163,Feature,Resolved,Normal,Auction Session Defination,Vivek Kulkarni,17/06/2022 18:19,100
162,Feature,In Progress,Normal,Commodity Creation,Shradha Itkare,20/06/2022 18:50,100
161,Feature,Resolved,Normal,Registration Approval,Shradha Itkare,12/07/22 10:52 AM,100
160,Feature,New,Normal,Reports (10),,02/06/22 04:08 PM,0
159,Feature,Resolved,Normal,API Development,Gaurav Kumar  Appa,14/06/2022 12:52,100
158,Feature,New,Normal,Buyer Cold Storage Deposit,,02/06/22 04:06 PM,0
157,Feature,New,Normal,DO Process,,02/06/22 04:06 PM,0
156,Feature,New,Normal,Payment Process,,02/06/22 04:06 PM,0
155,Feature,New,Normal,Customisation Post Trade Activities,,02/06/22 04:06 PM,0
154,Feature,New,Normal,Buyer Inventory,,02/06/22 11:05 AM,0
153,Feature,New,Normal,Trade Book,,02/06/22 11:05 AM,0
152,Feature,New,Normal,Order Book,,02/06/22 11:04 AM,0
151,Feature,In Progress,Normal,Auction Floor,,12/07/22 10:50 AM,20
150,Feature,Resolved,Normal,Auction Watch,,12/07/22 10:49 AM,100
149,Feature,New,Normal,Lot Randomisation Customisation,,02/06/22 11:03 AM,0
148,Feature,New,Normal,Grower Inventory,,02/06/22 11:02 AM,0
147,Feature,Resolved,Normal,Gate Entry,Pratidnya Thakare,13/06/2022 18:55,100
146,Feature,New,Normal,Buyer,,02/06/22 10:58 AM,0
145,Feature,New,Normal,Farmers / Growers,,02/06/22 10:56 AM,0
144,Feature,New,Normal,Registration Form (Process),,12/07/22 10:50 AM,26
143,Feature,Resolved,Normal,Theme Design,,22/06/2022 11:47,100
142,Feature,New,Normal,Configuration & Development,,12/07/22 10:52 AM,17
141,Feature,New,Normal,Framework Development,,02/06/22 04:37 PM,0
140,Feature,New,Normal,UAT,,02/06/22 11:14 AM,0
139,Feature,New,Normal,Bug Fixing (Development Team),,02/06/22 11:09 AM,0
138,Feature,New,Normal,Configuration & Development,,12/07/22 10:52 AM,51
137,Feature,New,Normal,Framework Discussion,,01/06/22 06:50 PM,0
136,Feature,New,Normal,Provisioning of Infrastructure,,02/06/22 11:08 AM,0
135,Feature,New,Normal,BRS & SRS Sign Off,,02/06/22 11:13 AM,0
134,Feature,New,Normal,BRS & SRS Preparation,,01/06/22 06:48 PM,0
133,Feature,New,Normal,Scope Clarity,Ankita Dargude,02/06/22 04:42 PM,0
132,Feature,New,Normal,Home Page,Dinesh Pratap,02/06/22 11:01 AM,0
