ID,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Category,Date Submitted,View Status,Updated,Status,Resolution
43775,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-06-14,public,2022-06-14,new,open
43774,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-06-14,public,2022-06-14,new,open
43773,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-06-14,public,2022-06-14,new,open
43772,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-06-14,public,2022-06-14,new,open
43771,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-06-14,public,2022-06-14,new,open
43770,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-06-14,public,2022-06-14,new,open
43768,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-06-14,public,2022-06-14,new,open
43767,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-06-14,public,2022-06-14,new,open
43454,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-06-08,public,2022-06-08,new,open
43283,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-06-06,public,2022-06-06,new,open
42997,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-05-31,public,2022-05-31,new,open
42984,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-05-30,public,2022-05-30,new,open
42983,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-05-30,public,2022-05-30,new,open
42982,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-05-30,public,2022-05-30,new,open
42981,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-05-30,public,2022-05-30,new,open
42905,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-05-27,public,2022-05-27,new,open
42828,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-05-25,public,2022-05-25,new,open
42825,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-05-25,public,2022-05-25,new,open
42786,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-05-24,public,2022-05-24,new,open
42777,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-05-24,public,2022-05-24,new,open
42776,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-05-24,public,2022-05-24,new,open
42704,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-05-23,public,2022-05-23,new,open
42626,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-05-20,public,2022-05-20,new,open
42625,KRISHIVED PFM,shivdasc,,normal,minor,have not tried,Bug,2022-05-20,public,2022-05-20,new,open
42028,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-04-27,public,2022-04-27,new,open
41862,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-04-21,public,2022-04-21,new,open
41608,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-04-12,public,2022-04-12,new,open
40595,KRISHIVED android,shivdasc,,normal,minor,have not tried,Bug,2022-03-22,public,2022-03-22,new,open
40556,KRISHIVED android,shivdasc,,normal,minor,have not tried,Bug,2022-03-21,public,2022-03-21,new,open
40545,KRISHIVED android,shivdasc,,normal,minor,have not tried,Bug,2022-03-21,public,2022-03-21,new,open
39449,KRISHIVED PFM,vaishnaviak,,high,major,always,Bug,2022-02-17,public,2022-02-17,new,open
39436,KRISHIVED android,yasht,,high,crash,always,Bug,2022-02-17,public,2022-02-17,new,open
39046,KRISHIVED posttrade,yasht,,normal,minor,random,Bug,2022-02-04,public,2022-02-04,new,open
33917,KRISHIVED posttrade,Rajendraj,,normal,major,always,Bug,2021-09-01,public,2021-09-01,new,open
27709,KRISHIVED Auction Android,DEEKSHA,,high,major,sometimes,Bug,2021-03-20,public,2021-03-20,new,open
27546,KRISHIVED Auction Android,MAHENDRA,,normal,minor,have not tried,Bug,2021-03-12,public,2021-03-12,new,open
38938,KRISHIVED PFM,aartip,ashwinir,high,major,always,Bug,2022-02-01,public,2022-02-04,feedback,open
27587,KRISHIVED Bilateral,DEEKSHA,DEEKSHA,high,major,random,Bug,2021-03-15,public,2021-03-15,feedback,open
44117,KRISHIVED posttrade,sayleel,chetans,high,major,always,Bug,2022-06-21,public,2022-06-21,assigned,open
40514,KRISHIVED android,yasht,bhavyakumart,high,crash,always,Bug,2022-03-19,public,2022-03-19,assigned,open
40513,KRISHIVED android,yasht,bhavyakumart,normal,minor,have not tried,Bug,2022-03-19,public,2022-03-19,assigned,open
40512,KRISHIVED android,yasht,bhavyakumart,normal,minor,always,Bug,2022-03-19,public,2022-03-19,assigned,open
40511,KRISHIVED android,yasht,bhavyakumart,normal,major,always,Bug,2022-03-19,public,2022-03-19,assigned,open
40510,KRISHIVED android,yasht,bhavyakumart,normal,minor,always,Bug,2022-03-19,public,2022-03-19,assigned,open
39576,KRISHIVED PFM,pragatia,shradha,normal,minor,always,Bug,2022-02-22,public,2022-02-22,assigned,open
39453,KRISHIVED PFM,pragatia,shradha,normal,minor,always,Bug,2022-02-17,public,2022-02-17,assigned,open
39388,KRISHIVED android,yasht,abolijadhav,normal,crash,always,Bug,2022-02-15,public,2022-02-15,assigned,open
36005,KRISHIVED Continuous Market,asham,swapnilm,normal,major,always,Bug,2021-10-26,public,2021-10-26,assigned,open
36004,KRISHIVED Continuous Market,asham,dineshp,normal,major,always,Bug,2021-10-26,public,2021-10-26,assigned,open
35899,KRISHIVED PFM,asham,ashwinir,normal,major,always,Bug,2021-10-23,public,2021-10-23,assigned,open
35898,KRISHIVED PFM,asham,ashwinir,normal,major,always,Bug,2021-10-23,public,2021-10-23,assigned,open
35897,KRISHIVED PFM,asham,ashwinir,normal,major,always,Bug,2021-10-23,public,2021-10-23,assigned,open
35896,KRISHIVED Continuous Market,asham,swapnilm,normal,major,always,Bug,2021-10-23,public,2021-10-23,assigned,open
35820,KRISHIVED android,pradipk,dineshp,normal,minor,always,Bug,2021-10-21,public,2021-10-21,assigned,open
34912,KRISHIVED posttrade,MAHENDRA,neelams,normal,minor,have not tried,Bug,2021-09-27,public,2021-09-27,assigned,open
34524,KRISHIVED posttrade,asham,dhananjais,normal,major,always,Bug,2021-09-17,public,2021-09-17,assigned,open
34523,KRISHIVED posttrade,asham,dhananjais,normal,major,always,Bug,2021-09-17,public,2021-09-17,assigned,open
34522,KRISHIVED posttrade,asham,dhananjais,normal,major,always,Bug,2021-09-17,public,2021-09-17,assigned,open
34521,KRISHIVED posttrade,asham,dhananjais,normal,minor,always,Bug,2021-09-17,public,2021-09-17,assigned,open
34519,KRISHIVED posttrade,asham,surajk,normal,major,always,Bug,2021-09-17,public,2021-09-17,assigned,open
34393,KRISHIVED posttrade,poonamc,dhananjais,normal,major,have not tried,Bug,2021-09-15,public,2021-09-15,assigned,open
34391,KRISHIVED posttrade,poonamc,dhananjais,normal,minor,always,Bug,2021-09-15,public,2021-09-15,assigned,open
34133,KRISHIVED posttrade,raginim,ashwinir,high,major,always,Bug,2021-09-06,public,2021-09-07,assigned,open
34132,KRISHIVED android,raginim,abolijadhav,high,major,always,Bug,2021-09-06,public,2021-09-06,assigned,open
34131,KRISHIVED android,raginim,abolijadhav,high,major,always,Bug,2021-09-06,public,2021-09-06,assigned,open
34130,KRISHIVED android,raginim,abolijadhav,high,major,always,Bug,2021-09-06,public,2021-09-06,assigned,open
33887,KRISHIVED android,raginim,abolijadhav,high,major,always,Bug,2021-09-01,public,2021-09-01,assigned,open
29806,KRISHIVED posttrade,MAHENDRA,neelams,normal,minor,have not tried,Bug,2021-05-18,public,2021-05-18,assigned,open
29164,KRISHIVED posttrade,MAHENDRA,sanjeebm,normal,minor,have not tried,Bug,2021-05-04,public,2021-05-04,assigned,open
28699,KRISHIVED spotlite java,MAHENDRA,sumitp,normal,minor,have not tried,Bug,2021-04-22,public,2021-04-22,assigned,open
28698,KRISHIVED spotlite java,MAHENDRA,sumitp,normal,minor,have not tried,Bug,2021-04-22,public,2021-04-22,assigned,open
27795,KRISHIVED Auction Android,MAHENDRA,ashwinir,high,minor,always,Bug,2021-03-24,public,2021-03-24,assigned,open
27593,KRISHIVED Auction Android,MAHENDRA,vikramm,normal,minor,have not tried,Bug,2021-03-15,public,2021-03-15,assigned,open
27451,KRISHIVED Auction Android,MAHENDRA,vikramm,normal,minor,have not tried,Bug,2021-03-09,public,2021-03-09,assigned,open
26968,KRISHIVED Bilateral,MAHENDRA,tradingdev,normal,minor,have not tried,Bug,2021-02-24,public,2021-02-24,assigned,open
26914,KRISHIVED Auction Android,MAHENDRA,shatrudhank,normal,minor,have not tried,Bug,2021-02-23,public,2021-02-23,assigned,open
26897,KRISHIVED Auction Android,MAHENDRA,tejast,normal,minor,have not tried,Bug,2021-02-23,public,2021-02-23,assigned,open
26893,KRISHIVED Auction Android,MAHENDRA,tejast,normal,minor,have not tried,Bug,2021-02-23,public,2021-02-23,assigned,open
