Id,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Category,Date Submitted,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version,,
39494,KRISHIVED PFM,vaishnaviak,,normal,major,always,,Bug,2022-02-18,,,,public,2022-06-24,Create user screen - PMM member is not getting created.,closed,open,,,
43104,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Bug,2022-06-01,,,,public,2022-06-24,"FEES AMT-I is displayed incorrect in billing report, obligation no : 169922060104561561",closed,open,,,
43088,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Bug,2022-06-01,,,,public,2022-06-24,In case of DNL template for multiple dispatch settlement value displayed wrong for seller in billing report.,closed,open,,,
43029,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Observation,2022-05-31,,,,public,2022-06-24,"Transaction billing report: In excel, qty is displayed with rounding off. obligation number : 14722053111490050",closed,open,,,
43028,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Observation,2022-05-31,,,,public,2022-06-24,"Transaction billing report: In excel, transaction type is displayed as DN it should ne in full form",closed,open,,,
43027,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Observation,2022-05-31,,,,public,2022-06-24,"Transaction billing report: In excel, GSTN and COUNTER GSTN is not getting displayed in exponential format",closed,open,,,
43031,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Observation,2022-05-31,,,,public,2022-06-24,In case of dispute qty is not updated properly for seller in transaction billing report,closed,open,,,
39355,KRISHIVED PFM,pragatia,,normal,minor,have not tried,,Observation,2022-02-14,,,,public,2022-06-23,Language label input screen : Success msg is displayed multiple times in popup,,,It's not a bug. We are adding label in three d,closed,open
38685,KRISHIVED PFM,saurabhr,,normal,major,have not tried,,Bug,2022-01-22,,,,public,2022-06-23,View Market Master :- Data is not getting displayed. Market code - SRNK,closed,open,,,
38684,KRISHIVED PFM,saurabhr,,normal,minor,have not tried,,Bug,2022-01-22,,,,public,2022-06-23,"Organization Registration :- After filling the data & clicking on submit, not getting success message.User :- U1401246",closed,open,,,
38683,KRISHIVED PFM,saurabhr,,normal,minor,have not tried,,Observation,2022-01-22,,,,public,2022-06-23,"Load TAC :- After loading TAC,blank pop-up notification is displayed.",closed,open,,,
38644,KRISHIVED PFM,saurabhr,,normal,major,have not tried,,Bug,2022-01-21,,,,public,2022-06-23,Edit Trading Account :- Update button is not provided for updating data. Trading Account Id :- TAC1401239,closed,open,,,
