ID,Tracker,Status,Priority,Subject,Assignee,Updated,% Done
197,Change Request,Resolved,High,The Location dropdown option has to be updated according to requirements,Shreya Talwekar,05/07/22 05:25 PM,100
196,Change Request,Resolved,High,Quantity unit and price unit dynamic display has to be fixed in Krishivedh.,Shreya Talwekar,05/07/22 05:25 PM,100
195,Change Request,Resolved,High,Expected price to be visible in Krishivedh data.,Shreya Talwekar,05/07/22 05:26 PM,100
194,Feature,Resolved,High,Krishivedh data's display order has to be changed,Shreya Talwekar,05/07/22 05:26 PM,100
193,Change Request,Resolved,High,The Most recent traded price in buy and sell commodity dashboard needs to be removed,Shreya Talwekar,05/07/22 05:27 PM,100
192,Change Request,Resolved,High,Change in Announcement order in the investor's corner,Shreya Talwekar,05/07/22 05:24 PM,100
191,Deployed UAT,Resolved,Normal,Build Release Admin Ver No. 1.0.0.13,Shreya Talwekar,28/06/2022 19:58,100
190,Feature,New,High,NeML Website Review and Live Changes - 23rd June 2022 - 15.00 Hrs to 16.00 Hrs,Shreya Talwekar,23/06/2022 16:46,0
189,Deployed UAT,Closed,Normal,Build Release Admin Ver No. 1.0.0.12,Shreya Talwekar,28/06/2022 19:57,100
188,Feature,Resolved,Normal,21th June changes,Shreya Talwekar,23/06/2022 14:57,100
186,API (Web Services),New,Normal,Revert Functionality for Application form,Shreya Talwekar,21/06/2022 17:29,0
185,Deployed UAT,Closed,Normal,Build Release Website Ver No. 1.0.0.11,Shreya Talwekar,21/06/2022 17:27,100
184,Deployed UAT,Closed,Normal,Build Release Admin Ver No. 1.0.0.10,Shreya Talwekar,21/06/2022 17:20,100
183,Deployed UAT,Closed,Normal,Build Release Website Ver No. 1.0.0.10,Shreya Talwekar,21/06/2022 17:23,100
182,Bug,Closed,High,NeML Website Review - 17th June 2022 - Key Discussion Points - 16.00 Hrs to 17.00 Hrs,Shreya Talwekar,21/06/2022 17:25,100
181,Bug,Closed,High,Case Studies - One Pager - Circle Images - 300x300 px,Shreya Talwekar,21/06/2022 17:24,100
180,Bug,Closed,High,NeML Website - Nav Menu - Resources Section - Dropdown Icons - 16th June 2022 - 17.31 Hrs,Shreya Talwekar,21/06/2022 17:19,100
179,Feature,Closed,High,Website Review - 16th June 2022 - 15.19 Hrs to 15.40 Hrs - Key Discussion Points,Shreya Talwekar,21/06/2022 17:24,100
178,Bug,Closed,High,NeML Website Review 4 - 14th June 2022 - 4.00 PM to 5.00 PM - Key Discussion Points,,21/06/2022 17:24,100
177,Bug,Closed,High,Website Review 3 - 10th June 2022 - 7.00 PM to 8.45 PM,Shreya Talwekar,21/06/2022 17:24,100
176,Feature,Closed,Normal,10th June 2022 - 3.00 PM to 4.00 PM,Shreya Talwekar,21/06/2022 17:25,100
