Id,Project,Reporter,Priority,Severity,Reproducibility,Category,Date Submitted,View Status,Updated,Status,Resolution
44526,e-Lottery,balajik,normal,minor,always,Observation,2022-06-28,public,2022-06-28,new,open
44525,e-Lottery,balajik,high,major,always,Bug,2022-06-28,public,2022-06-28,new,open
44524,e-Lottery,balajik,high,major,always,Bug,2022-06-28,public,2022-06-28,new,open
44523,e-Lottery,balajik,normal,major,always,Observation,2022-06-28,public,2022-06-28,new,open
44522,e-Lottery,balajik,normal,minor,always,Observation,2022-06-28,public,2022-06-28,new,open
44521,e-Lottery,balajik,normal,major,always,Observation,2022-06-28,public,2022-06-28,new,open
44520,e-Lottery,balajik,high,major,always,Bug,2022-06-28,public,2022-06-28,new,open
44519,e-Lottery,balajik,normal,major,always,Observation,2022-06-28,public,2022-06-28,new,open
44518,e-Lottery,balajik,normal,major,always,Bug,2022-06-28,public,2022-06-28,new,open
44517,e-Lottery,balajik,normal,major,always,Observation,2022-06-28,public,2022-06-28,new,open
44516,e-Lottery,balajik,normal,major,always,Bug,2022-06-28,public,2022-06-28,new,open
44302,e-Lottery,vinishak,normal,minor,have not tried,Observation,2022-06-23,public,2022-06-23,new,open
44301,e-Lottery,vinishak,normal,minor,have not tried,Observation,2022-06-23,public,2022-06-23,new,open
44299,e-Lottery,vinishak,normal,minor,have not tried,Observation,2022-06-23,public,2022-06-23,new,open
44298,e-Lottery,vinishak,normal,minor,have not tried,Observation,2022-06-23,public,2022-06-23,new,open
44296,e-Lottery,vinishak,normal,minor,have not tried,Observation,2022-06-23,public,2022-06-23,new,open
44294,e-Lottery,vinishak,normal,minor,have not tried,Observation,2022-06-23,public,2022-06-23,new,open
44293,e-Lottery,vinishak,normal,minor,have not tried,Observation,2022-06-23,public,2022-06-23,new,open
44292,e-Lottery,vinishak,normal,minor,have not tried,Observation,2022-06-23,public,2022-06-23,new,open
44291,e-Lottery,vinishak,normal,minor,have not tried,Observation,2022-06-23,public,2022-06-23,new,open
44289,e-Lottery,vinishak,low,minor,have not tried,Observation,2022-06-23,public,2022-06-23,new,open
44288,e-Lottery,vinishak,low,minor,have not tried,Observation,2022-06-23,public,2022-06-23,new,open
44270,e-Lottery,poonamc,normal,major,always,Bug,2022-06-23,public,2022-06-23,new,open
44255,e-Lottery,vinishak,normal,minor,have not tried,Bug,2022-06-23,public,2022-06-23,deployed_in_uat,open
44254,e-Lottery,vinishak,normal,minor,have not tried,Observation,2022-06-23,public,2022-06-23,deployed_in_uat,open
44257,e-Lottery,vinishak,normal,minor,have not tried,Bug,2022-06-23,public,2022-06-23,new,open
44256,e-Lottery,vinishak,normal,minor,have not tried,Bug,2022-06-23,public,2022-06-23,new,open
44228,e-Lottery,pragatia,normal,minor,always,Observation,2022-06-22,public,2022-06-22,new,open
44204,e-Lottery,vinishak,normal,major,have not tried,Bug,2022-06-22,public,2022-06-22,new,open
44199,e-Lottery,vinishak,normal,major,have not tried,Bug,2022-06-22,public,2022-06-22,new,open
44198,e-Lottery,poonamc,normal,major,always,Bug,2022-06-22,public,2022-06-22,new,open
44197,e-Lottery,vinishak,normal,major,have not tried,Bug,2022-06-22,public,2022-06-22,new,open
44193,e-Lottery,pragatia,normal,minor,always,Bug,2022-06-22,public,2022-06-22,new,open
44192,e-Lottery,vinishak,normal,major,have not tried,Bug,2022-06-22,public,2022-06-22,new,open
44186,e-Lottery,vinishak,normal,minor,have not tried,Observation,2022-06-22,public,2022-06-22,new,open
44180,e-Lottery,pragatia,normal,minor,have not tried,Observation,2022-06-22,public,2022-06-22,new,open
44179,e-Lottery,pragatia,normal,minor,always,Observation,2022-06-22,public,2022-06-22,new,open
44175,e-Lottery,vinishak,normal,major,have not tried,Bug,2022-06-22,public,2022-06-22,new,open
44131,e-Lottery,vinishak,normal,minor,have not tried,Observation,2022-06-21,public,2022-06-22,deployed_in_uat,open
44132,e-Lottery,vinishak,normal,minor,have not tried,Observation,2022-06-21,public,2022-06-22,deployed_in_uat,open
44126,e-Lottery,balajik,normal,major,always,Bug,2022-06-21,public,2022-06-22,feedback,open
44169,e-Lottery,vinishak,normal,minor,have not tried,Observation,2022-06-22,public,2022-06-22,new,open
44123,e-Lottery,balajik,normal,major,always,Bug,2022-06-21,public,2022-06-22,feedback,open
44163,e-Lottery,pragatia,normal,minor,always,Bug,2022-06-22,public,2022-06-22,new,open
44159,e-Lottery,vinishak,normal,major,have not tried,Bug,2022-06-22,public,2022-06-22,deployed_in_uat,open
44133,e-Lottery,vinishak,normal,minor,have not tried,Observation,2022-06-21,public,2022-06-21,new,open
44130,e-Lottery,vinishak,normal,minor,have not tried,Bug,2022-06-21,public,2022-06-21,new,open
44129,e-Lottery,poonamc,normal,major,always,Bug,2022-06-21,public,2022-06-21,new,open
44128,e-Lottery,poonamc,normal,major,always,Bug,2022-06-21,public,2022-06-21,new,open
44127,e-Lottery,poonamc,normal,major,always,Bug,2022-06-21,public,2022-06-21,new,open
44125,e-Lottery,balajik,normal,major,always,Bug,2022-06-21,public,2022-06-21,new,open
44124,e-Lottery,balajik,normal,minor,always,Observation,2022-06-21,public,2022-06-21,new,open
43683,e-Lottery,vinishak,normal,minor,have not tried,Observation,2022-06-13,public,2022-06-21,deployed_in_uat,open
44120,e-Lottery,pragatia,normal,minor,always,Bug,2022-06-21,public,2022-06-21,new,open
44119,e-Lottery,pragatia,normal,minor,always,Observation,2022-06-21,public,2022-06-21,new,open
44004,e-Lottery,balajik,normal,major,always,Bug,2022-06-20,public,2022-06-21,deployed_in_uat,open
44067,e-Lottery,vinishak,normal,minor,have not tried,Observation,2022-06-20,public,2022-06-21,deployed_in_uat,open
44068,e-Lottery,vinishak,normal,major,have not tried,Bug,2022-06-20,public,2022-06-21,deployed_in_uat,open
44106,e-Lottery,utkarshn,normal,minor,N/A,Data Request,2022-06-21,public,2022-06-21,new,open
44105,e-Lottery,utkarshn,high,minor,N/A,General,2022-06-21,public,2022-06-21,new,open
44020,e-Lottery,pragatia,high,minor,have not tried,Bug,2022-06-20,public,2022-06-21,closed,open
44021,e-Lottery,pragatia,normal,minor,always,Bug,2022-06-20,public,2022-06-20,deployed_in_uat,open
44019,e-Lottery,pragatia,high,major,always,Bug,2022-06-20,public,2022-06-20,deployed_in_uat,open
44024,e-Lottery,pragatia,normal,minor,always,Observation,2022-06-20,public,2022-06-20,deployed_in_uat,open
44018,e-Lottery,pragatia,normal,minor,always,Bug,2022-06-20,public,2022-06-20,deployed_in_uat,open
43586,e-Lottery,pragatia,normal,minor,always,Observation,2022-06-10,public,2022-06-20,deployed_in_uat,open
43559,e-Lottery,pragatia,normal,minor,always,Observation,2022-06-10,public,2022-06-20,deployed_in_uat,open
44015,e-Lottery,balajik,normal,major,always,Observation,2022-06-20,public,2022-06-20,deployed_in_uat,open
44010,e-Lottery,balajik,normal,major,always,Bug,2022-06-20,public,2022-06-20,deployed_in_uat,open
44009,e-Lottery,balajik,normal,minor,always,Observation,2022-06-20,public,2022-06-20,deployed_in_uat,open
44008,e-Lottery,balajik,normal,minor,always,Observation,2022-06-20,public,2022-06-20,deployed_in_uat,open
44007,e-Lottery,balajik,normal,minor,always,Observation,2022-06-20,public,2022-06-20,deployed_in_uat,open
44005,e-Lottery,balajik,normal,minor,always,Observation,2022-06-20,public,2022-06-20,deployed_in_uat,open
44002,e-Lottery,balajik,normal,minor,always,Observation,2022-06-20,public,2022-06-20,deployed_in_uat,open
43999,e-Lottery,balajik,normal,major,always,Bug,2022-06-20,public,2022-06-20,deployed_in_uat,open
